invoiceDate,amount
2022-05-21,177845.75
2022-05-23,180790.1
2022-05-24,259529.77
2022-05-25,610354.64
2022-05-26,213259.15
2022-05-27,754826.86
2022-05-28,412689.13
2022-05-30,150055.67
2022-05-31,9482.0
2022-06-01,578095.32
2022-06-02,289559.5
2022-06-03,407345.99
2022-06-04,771909.02
2022-06-06,462218.28
2022-06-07,284785.01
2022-06-08,473516.08999999997
2022-06-09,192667.13
2022-06-10,200867.05
2022-06-11,326724.81
2022-06-13,437841.09
2022-06-14,124488.9
2022-06-15,620826.25
2022-06-16,297753.06
2022-06-17,303068.4
2022-06-18,341207.05
2022-06-20,303338.59
2022-06-21,161955.8
2022-06-22,414504.9
2022-06-23,479710.92
2022-06-24,332229.54
2022-06-25,222572.91
2022-06-27,505477.05
2022-06-28,1390285.21
2022-06-29,361986.38
2022-06-30,25480.6
2022-07-01,426264.56
2022-07-02,216092.32
2022-07-04,246701.9
2022-07-05,460676.22000000003
2022-07-06,364710.38
2022-07-07,565081.02
2022-07-08,436279.23
2022-07-09,546422.97
2022-07-11,646727.29
2022-07-12,217781.89
2022-07-13,321064.29
2022-07-14,274217.56
2022-07-15,225618.56
2022-07-16,259826.06
2022-07-18,669685.5
2022-07-19,739073.33
2022-07-20,784928.24
2022-07-21,290085.76
2022-07-22,107614.44
2022-07-23,223379.41
2022-07-25,636450.4
2022-07-26,550176.67
2022-07-27,882694.84
2022-07-28,199258.26
2022-07-29,477020.79
2022-07-30,124600.7
2022-08-01,220199.07
2022-08-02,1047098.4400000001
2022-08-03,599123.42
2022-08-04,224638.3
2022-08-05,336871.69
2022-08-06,253784.76
2022-08-07,821818.78
2022-08-08,182033.1
2022-08-09,129691.16
2022-08-10,667514.63
2022-08-11,103213.09
2022-08-12,331046.95
2022-08-13,658301.22
2022-08-14,20861.6
2022-08-15,326832.76
2022-08-16,437795.43
2022-08-17,230225.1
2022-08-22,925990.45
2022-08-23,467864.2
2022-08-24,1210557.25
2022-08-25,474718.21
2022-08-26,248141.58
2022-08-27,397040.7
2022-08-29,305447.33
2022-08-30,181501.72
2022-08-31,93758.15
2022-09-01,750179.84
2022-09-02,520614.14
2022-09-03,172490.49
2022-09-05,494594.27
2022-09-06,347106.12
2022-09-07,393356.37
2022-09-08,156724.68
2022-09-09,160482.09
2022-09-10,243622.61000000002
2022-09-12,159892.13
2022-09-13,782259.15
2022-09-14,181328.56
2022-09-15,159828.55
2022-09-16,574330.13
2022-09-17,966460.66
2022-09-19,899949.72
2022-09-20,309057.47
2022-09-21,157970.0
2022-09-22,139285.15
2022-09-23,290199.92
2022-09-24,403019.81
2022-09-26,715002.24
2022-09-27,296915.91
2022-09-28,238298.62
2022-09-29,452599.62
2022-09-30,224815.55
2022-10-01,627698.8
2022-10-03,1261340.8
2022-10-04,449719.5
2022-10-05,392193.51
2022-10-06,79800.38
2022-10-07,256066.89
2022-10-08,665467.2
2022-10-10,390349.47
2022-10-11,663294.73
2022-10-12,134168.68
2022-10-13,168088.57
2022-10-14,93879.95999999999
2022-10-15,381941.91
2022-10-17,609754.7
2022-10-18,817674.59
2022-10-19,499799.7
2022-10-20,694924.49
2022-10-21,326715.9
2022-10-28,448709.56
2022-10-29,254972.55
2022-10-31,243156.69
2022-11-01,273381.35
2022-11-02,522087.02999999997
2022-11-03,507977.66000000003
2022-11-04,968221.4
2022-11-05,94187.62
2022-11-07,370046.17
2022-11-08,368234.01
2022-11-09,301472.77
2022-11-10,553873.17
2022-11-11,309006.9
2022-11-12,229539.6
2022-11-14,283611.05
2022-11-15,839686.59
2022-11-16,381034.28
2022-11-17,120552.2
2022-11-18,168717.38
2022-11-19,304776.23
2022-11-21,438621.65
2022-11-22,1433110.57
2022-11-23,507096.84
2022-11-24,352014.55
2022-11-25,210823.33000000002
2022-11-26,250881.25
2022-11-28,602397.33
2022-11-29,885784.81
2022-11-30,125020.3
2022-12-01,1042785.91
2022-12-02,67805.63
2022-12-03,414306.18
2022-12-05,326809.28
2022-12-06,182093.23
2022-12-07,122472.7
2022-12-08,283810.27999999997
2022-12-09,231151.36
2022-12-10,288693.56
2022-12-12,471257.13
2022-12-13,432767.34
2022-12-14,494687.7
2022-12-15,657538.35
2022-12-16,164085.45
2022-12-17,803660.53
2022-12-19,390357.03
2022-12-20,686701.97
2022-12-21,120548.1
2022-12-22,389970.42
2022-12-23,209644.61
2022-12-24,269824.78
2022-12-26,302651.26
2022-12-27,551383.69
2022-12-28,680865.03
2022-12-29,333747.45
2022-12-30,508547.65
2022-12-31,98898.37
2023-01-02,856887.98
2023-01-03,785095.43
2023-01-04,2237031.6
2023-01-05,860157.36
2023-01-06,1546861.54
2023-01-07,610779.0
2023-01-09,544204.68
2023-01-10,1054783.05
2023-01-11,573479.0599999999
2023-01-12,676000.54
2023-01-13,639032.54
2023-01-16,304586.5
2023-01-17,604833.66
2023-01-18,857522.74
2023-01-19,1071863.46
2023-01-20,500618.2
2023-01-21,1748123.68
2023-01-23,771440.15
2023-01-24,624919.98
2023-01-25,2455128.9
2023-01-26,2041717.3
2023-01-27,752108.49
2023-01-28,215660.2
2023-01-30,876020.0
2023-01-31,442527.7
2023-02-01,746700.67
2023-02-02,1962149.22
2023-02-03,1770185.28
2023-02-04,295157.74
2023-02-06,686464.54
2023-02-07,551156.5700000001
2023-02-08,620847.84
2023-02-09,233746.29
2023-02-10,151648.54
2023-02-11,1077444.98
2023-02-13,448560.0
2023-02-14,260948.06
2023-02-15,1248396.38
2023-02-16,764917.32
2023-02-17,902313.38
2023-02-18,160787.76
2023-02-20,508460.2
2023-02-21,1014087.95
2023-02-22,750731.3
2023-02-23,999177.66
2023-02-24,387695.34
2023-02-25,404915.54
2023-02-27,1655430.21
2023-02-28,1202561.78
2023-03-01,872417.94
2023-03-02,1282602.76
2023-03-03,501255.28
2023-03-04,442348.0
2023-03-06,1103288.61
2023-03-07,400146.9
2023-03-09,769493.58
2023-03-10,792749.22
2023-03-11,332982.84
2023-03-13,533770.75
2023-03-14,1410039.33
2023-03-15,610921.46
2023-03-16,1244064.92
2023-03-17,322788.52
2023-03-18,615217.16
2023-03-20,758462.5
2023-03-21,814098.0
2023-03-22,734941.82
2023-03-23,167893.36
2023-03-24,856258.08
2023-03-25,543802.46
2023-03-27,1281547.5
2023-03-28,431474.3
2023-03-29,619463.4400000001
2023-03-30,760385.9
2023-03-31,33889.67
2023-04-01,1564606.34
2023-04-03,1084515.48
2023-04-04,719748.78
2023-04-05,962494.82
2023-04-06,530317.49
2023-04-07,1102259.5
2023-04-08,384604.96
2023-04-10,687859.42
2023-04-11,695049.58
2023-04-12,566049.34
2023-04-13,1328639.04
2023-04-14,599228.86
2023-04-15,223024.84
2023-04-17,1946786.34
2023-04-18,1185294.3
2023-04-19,993230.72
2023-04-20,708912.98
2023-04-21,632867.66
2023-04-22,139919.19
2023-04-24,1023055.71
2023-04-25,1308682.26
2023-04-26,769428.29
2023-04-27,615482.04
2023-04-28,1754584.42
2023-04-29,72632.15
2023-05-01,928432.14
2023-05-02,249485.2
2023-05-03,828097.57
2023-05-04,994534.38
2023-05-05,154180.16
2023-05-06,979599.0
2023-05-08,859540.47
2023-05-09,3024298.09
2023-05-10,1023363.48
2023-05-11,265301.36
2023-05-12,300328.56
2023-05-13,852820.79
2023-05-15,1358308.14
2023-05-16,596450.6
2023-05-17,573625.84
2023-05-18,679146.02
2023-05-19,557346.98
2023-05-20,640818.5
2023-05-22,1075831.01
2023-05-23,342292.68
2023-05-24,644570.98
2023-05-25,431188.2
2023-05-26,485898.86
2023-05-27,2041799.22
2023-05-29,244730.7
2023-05-30,951659.84
2023-05-31,96618.2
2023-06-01,1564018.86
2023-06-02,910666.96
2023-06-03,266237.06
2023-06-05,1292205.98
2023-06-06,504818.36
2023-06-07,612532.0
2023-06-08,1133545.66
2023-06-09,117363.48
2023-06-10,433142.08
2023-06-12,395080.96
2023-06-13,1241862.51
2023-06-14,410833.6
2023-06-15,473123.48
2023-06-16,1268127.26
2023-06-17,1108343.7
2023-06-19,483434.74
2023-06-20,744210.58
2023-06-21,1331181.63
2023-06-22,929171.12
2023-06-23,526676.48
2023-06-24,972003.14
2023-06-26,1064373.34
2023-06-27,981481.16
2023-06-28,143712.9
2023-06-29,253109.56
2023-06-30,106792.4
2023-07-01,730360.02
2023-07-03,1317452.92
2023-07-04,893979.96
2023-07-05,580248.09
2023-07-06,2185926.66
2023-07-07,527649.92
2023-07-08,980432.92
2023-07-10,377326.5
2023-07-11,2881483.48
2023-07-12,687738.5
2023-07-13,1497672.46
2023-07-14,834591.57
2023-07-15,991719.39
2023-07-17,1373252.76
2023-07-18,962073.32
2023-07-19,435022.94
2023-07-20,1755521.98
2023-07-21,660045.12
2023-07-22,1067289.42
2023-07-24,913393.32
2023-07-25,1482028.51
2023-07-26,1761766.15
2023-07-27,867075.18
2023-07-28,570989.92
2023-07-29,545108.36
2023-07-31,88826.02
2023-08-01,1036211.99
2023-08-02,1046093.32
2023-08-03,443230.25
2023-08-04,3015013.68
2023-08-05,1025544.63
2023-08-07,599159.64
2023-08-08,627408.71
2023-08-09,401817.44
2023-08-10,2553278.45
2023-08-11,1279345.36
2023-08-12,670563.92
2023-08-14,1635277.78
2023-08-15,490175.89
2023-08-16,198564.5
2023-08-17,1106136.4
2023-08-18,1228518.92
2023-08-19,249976.6
2023-08-21,772971.88
2023-08-22,1493731.68
2023-08-23,1683350.85
2023-08-24,599408.86
2023-08-25,356664.38
2023-08-26,871574.87
2023-08-28,1391967.06
2023-08-29,2779521.37
2023-08-30,2212447.1
2023-08-31,1142581.85
2023-09-01,1415920.0
2023-09-02,1274945.39
2023-09-04,1616143.71
2023-09-05,316868.08999999997
2023-09-11,1932730.21
2023-09-12,964095.48
2023-09-13,1695606.29
2023-09-14,1486429.46
2023-09-15,196187.21
2023-09-16,453497.14
2023-09-18,538305.6
2023-09-19,1071157.68
2023-09-20,434591.42
2023-09-21,858237.5
2023-09-22,482478.78
