InvoiceWeek,amount
2,2557.2
2,5658.0
2,1372.9
2,2036.7
2,6943.0
2,1414.0
2,763.8
2,3624.3
2,1446.5
2,1060.5
2,694.2
2,1145.7
2,10414.2
2,1242.5
2,2673.0
2,1909.2
2,2314.2
2,671.2
2,5091.4
2,3471.0
2,2545.8
2,1909.5
2,988.5
2,5207.0
2,578.6
2,678.9
2,347.1
2,381.8
2,381.9
2,1542.8
2,347.2
2,5207.1
2,13018.5
2,347.15
2,347.2
2,1336.5
2,3124.2
2,8100.0
2,3472.0
2,2291.4
2,2314.4
2,763.8
2,10182.0
2,2545.8
2,1273.0
2,1145.7
2,150.4
2,752.1
2,6393.0
2,2673.0
2,1388.7
2,3471.4
